propertyState,countyCode,Year,totalPremium,totalPolicies
AL,1061.0,2015,91285,120
AL,1061.0,2016,86798,124
AL,1061.0,2017,75023,109
AL,1061.0,2018,72389,100
AL,1061.0,2019,72744,89
AL,1061.0,2020,77888,90
AL,1061.0,2021,80969,87
AL,1061.0,2022,67842,90
AL,1061.0,2023,60557,74
AL,1061.0,2024,62718,68
AL,1063.0,2015,51186,100
AL,1063.0,2016,54612,96
AL,1063.0,2017,62527,94
AL,1063.0,2018,65760,93
AL,1063.0,2019,67031,91
AL,1063.0,2020,73873,90
AL,1063.0,2021,67341,85
AL,1063.0,2022,54822,78
AL,1063.0,2023,62421,80
AL,1063.0,2024,62324,77
AL,1065.0,2015,91724,162
AL,1065.0,2016,96973,153
AL,1065.0,2017,86219,140
AL,1065.0,2018,100780,137
AL,1065.0,2019,85190,128
AL,1065.0,2020,85532,114
AL,1065.0,2021,94072,116
AL,1065.0,2022,72324,92
AL,1065.0,2023,77177,87
AL,1065.0,2024,76794,77
AL,1067.0,2015,36941,46
AL,1067.0,2016,41813,51
AL,1067.0,2017,39662,40
AL,1067.0,2018,39285,39
AL,1067.0,2019,36957,38
AL,1067.0,2020,42405,41
AL,1067.0,2021,41325,38
AL,1067.0,2022,30535,40
AL,1067.0,2023,31841,34
AL,1067.0,2024,38258,40
AL,1069.0,2015,280830,509
AL,1069.0,2016,296325,515
AL,1069.0,2017,305695,500
AL,1069.0,2018,292821,474
AL,1069.0,2019,334464,466
AL,1069.0,2020,323461,437
AL,1069.0,2021,320099,426
AL,1069.0,2022,319280,407
AL,1069.0,2023,309834,381
AL,1069.0,2024,354209,375
AL,1071.0,2015,145967,215
AL,1071.0,2016,133207,214
AL,1071.0,2017,135101,208
AL,1071.0,2018,146553,202
AL,1071.0,2019,145127,192
AL,1071.0,2020,140937,181
AL,1071.0,2021,153514,182
AL,1071.0,2022,150232,171
AL,1071.0,2023,144798,160
AL,1071.0,2024,154637,146
AL,1073.0,2015,2602654,2535
AL,1073.0,2016,2674539,2469
AL,1073.0,2017,2625742,2385
AL,1073.0,2018,2597994,2290
AL,1073.0,2019,2545208,2181
AL,1073.0,2020,2434963,1991
AL,1073.0,2021,2521606,2026
AL,1073.0,2022,2132376,1883
AL,1073.0,2023,2038720,1752
AL,1073.0,2024,2118337,1647
AL,1075.0,2015,6875,19
AL,1075.0,2016,7212,19
AL,1075.0,2017,8114,17
AL,1075.0,2018,7444,18
AL,1075.0,2019,7107,15
AL,1075.0,2020,9366,16
AL,1075.0,2021,15167,19
AL,1075.0,2022,8835,14
AL,1075.0,2023,9150,13
AL,1075.0,2024,12023,14
AL,1077.0,2015,152624,213
AL,1077.0,2016,160928,207
AL,1077.0,2017,152799,189
AL,1077.0,2018,137866,183
AL,1077.0,2019,118931,181
AL,1077.0,2020,122748,170
AL,1077.0,2021,141958,176
AL,1077.0,2022,140483,163
AL,1077.0,2023,149777,158
AL,1077.0,2024,155711,149
AL,1079.0,2015,71350,88
AL,1079.0,2016,65840,83
AL,1079.0,2017,60937,77
AL,1079.0,2018,74682,92
AL,1079.0,2019,64277,91
AL,1079.0,2020,65796,87
AL,1079.0,2021,68153,83
AL,1079.0,2022,62143,84
AL,1079.0,2023,73428,83
AL,1079.0,2024,78420,83
AL,1081.0,2015,190333,414
AL,1081.0,2016,183002,417
AL,1081.0,2017,200894,421
AL,1081.0,2018,203395,422
AL,1081.0,2019,194890,385
AL,1081.0,2020,206333,391
AL,1081.0,2021,220471,377
AL,1081.0,2022,210211,340
AL,1081.0,2023,228701,317
AL,1081.0,2024,214607,297
AL,1083.0,2015,217387,346
AL,1083.0,2016,204475,329
AL,1083.0,2017,219216,351
AL,1083.0,2018,231107,382
AL,1083.0,2019,209814,340
AL,1083.0,2020,216368,310
AL,1083.0,2021,246758,316
AL,1083.0,2022,240381,296
AL,1083.0,2023,275551,300
AL,1083.0,2024,300835,265
AL,1085.0,2015,53241,90
AL,1085.0,2016,50471,87
AL,1085.0,2017,46701,88
AL,1085.0,2018,37736,75
AL,1085.0,2019,41986,80
AL,1085.0,2020,41403,80
AL,1085.0,2021,47748,82
AL,1085.0,2022,54856,84
AL,1085.0,2023,57376,77
AL,1085.0,2024,62373,73
AL,1087.0,2015,10504,25
AL,1087.0,2016,14516,31
AL,1087.0,2017,15465,33
AL,1087.0,2018,15426,34
AL,1087.0,2019,17339,35
AL,1087.0,2020,17598,33
AL,1087.0,2021,19920,32
AL,1087.0,2022,15158,30
AL,1087.0,2023,14998,26
AL,1087.0,2024,20213,24
AL,1089.0,2015,2593151,4586
AL,1089.0,2016,2623380,4671
AL,1089.0,2017,2933991,4806
