State,County,claim_counts,claim_loss,test_loss,p,mu,phi
AL,1019.0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]","[0.0, 12875.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22000.0, 0.0, 709.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12354.83, 0.0, 0.0, 0.0, 11279.19]","[0.0, 110968.95, 0.0, 0.0, 0.0, 91538.94, 2433.63, 1383.85, 60000.0, 0.0]",1.896063783573668,1644.958063888889,74.78432224448508
AL,1021.0,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1199.25, 7459.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31222.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2344.4, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8365265603114636,1172.9241694444445,87.39959630257404
AL,1023.0,"[2, 8, 8, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 6, 5, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0, 1]","[0.0, 54249.44, 26771.88, 0.0, 0.0, 10997.54, 0.0, 0.0, 0.0, 3841.19, 0.0, 0.0, 0.0, 7268.95, 0.0, 0.0, 0.0, 0.0, 0.0, 109503.54, 28849.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1841.88, 0.0, 0.0, 0.0, 28581.33, 0.0, 0.0, 0.0, 19870.96]","[0.0, 151789.62, 0.0, 0.0, 80443.45000000001, 0.0, 36280.11, 0.0, 0.0, 2519.33]",1.9202811795348382,8104.902233333333,21.032443099548374
AL,1025.0,"[0, 7, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 121199.2, 33242.380000000005, 21260.120000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10502.2, 0.0, 0.0, 23521.82, 0.0, 0.0, 0.0, 0.0, 0.0, 35106.9, 62911.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 586840.96, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8601684426200962,8548.445838888889,43.47903705235253
AL,1027.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.000017639800462,2.777777777777778e-06,0.00010002433506863968
AL,1031.0,"[1, 2, 0, 0, 2, 2, 1, 3, 0, 0, 0, 1, 56, 0, 1, 2, 76, 8, 1, 0, 334, 0, 0, 0, 0, 3, 0, 2, 0, 1, 1, 10, 0, 0, 11, 3]","[3028.0, 2651.07, 0.0, 0.0, 1383.0, 1446.87, 0.0, 6179.74, 0.0, 0.0, 0.0, 0.0, 1471561.3, 0.0, 0.0, 2116.44, 570392.53, 10349.63, 0.0, 0.0, 13230238.04, 0.0, 0.0, 0.0, 0.0, 8554.94, 0.0, 3179.62, 0.0, 0.0, 3038.01, 198223.44, 0.0, 0.0, 142512.38999999998, 0.0]","[54502.02, 1925994.57, 0.0, 0.0, 182.73, 0.0, 34047.270000000004, 0.0, 0.0, 0.0]",1.945421063447369,434857.08390555554,2.571429764951076
AL,1033.0,"[2, 4, 4, 0, 0, 13, 2, 0, 0, 0, 0, 0, 2, 20, 16, 0, 1, 1, 1, 4, 4, 4, 2, 2, 4, 2, 5, 0, 0, 0, 3, 2, 0, 3, 1, 0]","[4496.76, 5506.16, 4148.4400000000005, 0.0, 0.0, 44889.48, 7109.94, 0.0, 0.0, 0.0, 0.0, 0.0, 9183.6, 183925.62, 146794.51, 0.0, 12567.3, 13109.82, 7089.69, 40999.89, 58512.9, 86282.1, 68213.51999999999, 1455.91, 54399.91, 10759.27, 98439.78, 0.0, 0.0, 0.0, 18488.83, 8084.220000000001, 0.0, 71733.78, 3243.5, 0.0]","[53976.13, 65644.5, 2110.98, 0.0, 11472.830000000002, 592150.5700000001, 74801.63, 39723.09, 0.0, 86345.2]",1.698567745987364,26650.97027777778,25.267673744210843
AL,1035.0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 62489.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.9206961202417714,1735.819447222222,273.3959587275883
AL,1037.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27870.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20565.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32801.38, 32664.34, 0.0, 0.0]","[0.0, 72162.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8867588936743167,3163.9230611111107,113.12792257317606
AL,1039.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 27, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 759.9, 0.0, 0.0, 0.0, 345756.76, 9420.39, 0.0, 7158.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 33467.91, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8554598225276302,10085.976947222221,29.502719142001094
AL,1041.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0000090056909836,5.555555555555556e-06,0.0001000117987965691
